Profundidade;ID;TN%;d15N;TOC%;d13C;TOC/TN
1827;F10;0.47;0.53;22.36;-26.3062136;47.85
1830;F11;0.40;-0.24;15.12;-27.1419336;38.03
1833;F12;0.18;-0.88;5.98;-27.2215728;33.48
1836;G1;0.20;-0.27;7.14;-27.5381632;36.13
1839;G2;0.23;-0.54;7.88;-27.7082568;33.80
1842;G3;0.21;-0.70;7.48;-27.5656928;36.01
1845;G4;0.14;-0.61;3.75;-27.964872;26.75
1848;G5;0.17;0.06;5.83;-27.6197688;33.95
1851;G6;0.23;-0.52;6.75;-28.1113688;29.85
1854;G7;0.05;-1.81;1.75;-27.5548776;34.20
1857;G8;0.12;-1.11;4.13;-27.0190336;33.99
1860;G9;0.11;1.24;3.92;-23.6053632;35.46
1863;G10;0.12;-0.35;3.78;-25.6228896;31.48
1866;G11;0.06;-2.51;1.66;-25.8991688;28.05
1872;G12;0.10;-0.51;3.21;-25.10376;32.33
1875;H1;0.10;-1.84;2.74;-27.5126;27.21
1878;H2;0.10;-0.61;2.60;-28.1998568;26.72
1881;H3;0.12;-0.40;3.32;-28.5636408;28.82
1884;H4;0.08;-0.72;2.21;-28.1703608;26.78
1887;H5;0.09;-0.93;3.11;-27.9540568;34.94
1890;H6;0.10;-0.76;3.68;-26.273768;37.07
1893;H7;0.07;-1.33;2.42;-27.8891656;35.47
1896;H8;0.07;0.37;2.77;-27.9855192;37.90
1908;H9;0.08;-1.39;2.69;-27.3277584;31.88
1911;H10;0.07;-1.50;2.17;-27.6237016;31.09
1914;H11;0.11;-0.89;5.30;-20.9369584;46.42
1917;H12;0.08;-1.93;2.48;-27.6531976;31.81
1923;A1;0.01;-0.60;2.35;-26.02;165.17
1926;A2;0.06;-1.78;1.42;-25.70;23.02
1929;A3;0.02;-9.82;1.79;-28.02;86.01
1932;A4;0.02;-4.12;1.99;-27.90;101.67
1935;A5;0.03;-1.18;1.97;-27.90;71.75
1938;A6;0.03;-6.18;2.00;-28.29;72.62
1941;A7;0.04;-2.38;1.93;-28.32;52.98
1944;A8;0.03;-2.18;2.23;-28.00;82.72
1947;A9;0.02;-3.58;2.04;-27.66;100.92
1950;A10;0.02;-7.43;1.90;-28.13;117.29
